organism,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id
Mucor ambiguus,Fungi,Zygomycota,NA,Mucorales,Mucoraceae,Mucor,Mucor circinelloides,5,96,NA,749,4094,9467085,5250404
Mucor genevensis,Fungi,Zygomycota,NA,Mucorales,Mucoraceae,Mucor,Mucor genevensis,5,96,NA,749,4094,9467085,5250479
Mucor javanicus,Fungi,Zygomycota,NA,Mucorales,Mucoraceae,Mucor,Mucor circinelloides,5,96,NA,749,4094,9467085,5250404
Mucor prainii,Fungi,Zygomycota,NA,Mucorales,Mucoraceae,Mucor,Mucor circinelloides,5,96,NA,749,4094,9467085,5250404
Mucor stolonifer,Fungi,Zygomycota,NA,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus stolonifer,5,96,NA,749,7833248,2558384,2558944
Mucronoporus everhartii,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Phellinus,Phellinus everhartii,5,34,186,1304,8468,2520108,7799165
Mycocentrospora veratri,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,Mycocentrospora,Mycocentrospora veratri,5,95,183,1047,NA,9539524,3537920
Mycoleptodiscus sphaericus,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Mycoleptodiscus,Mycoleptodiscus sphaericus,5,95,320,7889691,5731,2569292,2569293
Mycoleptodiscus terrestris,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Mycoleptodiscus,Mycoleptodiscus terrestris,5,95,320,7889691,5731,2569292,2569300
Mycopappus quercus,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Mycopappus,Mycopappus quercus,5,95,179,1052,8385,2583192,3484951
Mycosphaerella acaciigena,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora acaciigena,5,95,183,1262,4797,2589681,3502681
Mycosphaerella africana,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Amycosphaerella,Amycosphaerella africana,5,95,183,1262,4797,8117107,7893072
Mycosphaerella andrewsii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella andrewsii,5,95,183,1262,4797,2569921,3505091
Mycosphaerella arachidicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,NA,5,95,183,1262,4797,2569921,NA
Mycosphaerella asplenii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella asplenii,5,95,183,1262,4797,2569921,8210191
Mycosphaerella bellula,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Parateratosphaeria,Parateratosphaeria bellula,5,95,183,1262,4800,7880658,7619153
Mycosphaerella berkeleyi,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella berkeleyi,5,95,183,1262,4797,2569921,2622458
Mycosphaerella brassicicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella brassicicola,5,95,183,1262,4797,2569921,2621935
Mycosphaerella buna,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella buna,5,95,183,1262,4797,2569921,3505878
Mycosphaerella caricae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,NA,5,95,183,1262,4797,2569921,NA
Mycosphaerella caryigena,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella caryigena,5,95,183,1262,4797,2569921,2622423
Mycosphaerella castanopsidis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella castanopsidis,5,95,183,1262,4797,2569921,3505113
Mycosphaerella cercidicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella cercidicola,5,95,183,1262,4797,2569921,2622056
Mycosphaerella citrigena,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella citrigena,5,95,183,1262,4797,2569921,3505476
Mycosphaerella citrullina,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Didymella bryoniae,5,95,183,1047,3281822,9388829,2614031
Mycosphaerella confusa,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella confusa,5,95,183,1262,4797,2569921,2621854
Mycosphaerella contraria,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella contraria,5,95,183,1262,4797,2569921,3505065
Mycosphaerella crotalariae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella crotalariae,5,95,183,1262,4797,2569921,3505002
Mycosphaerella delegatensis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella delegatensis,5,95,183,1262,4797,2569921,2622542
Mycosphaerella dianthi,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella dianthi,5,95,183,1262,4797,2569921,2620417
Mycosphaerella dubia,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella dubia,5,95,183,1262,4797,2569921,7706818
Mycosphaerella ellipsoidea,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella ellipsoidea,5,95,183,1262,4797,2569921,3505788
Mycosphaerella eumusae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora eumusae,5,95,183,1262,4797,2589681,3502661
Mycosphaerella exitialis,Fungi,Ascomycota,Sordariomycetes,Diaporthales,NA,Ascochyta,Ascochyta sorghi,5,95,320,1289,NA,9558579,2615061
Mycosphaerella fijiensis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella fijiensis,5,95,183,1262,4797,2569921,2621925
Mycosphaerella fraxinicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella fraxinicola,5,95,183,1262,4797,2569921,3505071
Mycosphaerella gardeniae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella gardeniae,5,95,183,1262,4797,2569921,2622333
Mycosphaerella gibsonii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella gibsonii,5,95,183,1262,4797,2569921,2622482
Mycosphaerella glochidionis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella glochidionis,5,95,183,1262,4797,2569921,3505354
Mycosphaerella gossypina,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella gossypina,5,95,183,1262,4797,2569921,2622253
Mycosphaerella graminicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella graminicola,5,95,183,1262,4797,2569921,2622594
Mycosphaerella grandis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Austroafricana,Austroafricana parva,5,95,183,1262,4800,7848054,7461756
Mycosphaerella grossulariae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella ribis,5,95,183,1262,4797,2569921,2621971
Mycosphaerella handelii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella handelii,5,95,183,1262,4797,2569921,2622554
Mycosphaerella hedericola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella hedericola,5,95,183,1262,4797,2569921,2622393
Mycosphaerella heimioides,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella heimioides,5,95,183,1262,4797,2569921,3504896
Mycosphaerella henningsii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella henningsii,5,95,183,1262,4797,2569921,2622584
Mycosphaerella heucherae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella heucherae,5,95,183,1262,4797,2569921,2621994
Mycosphaerella holualoana,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pallidocercospora,Pallidocercospora holualoana,5,95,183,1262,4797,8176448,7835126
Mycosphaerella irregulariramosa,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella irregulariramosa,5,95,183,1262,4797,2569921,3504906
Mycosphaerella ixodiae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella ixodiae,5,95,183,1262,4797,2569921,3505110
Mycosphaerella juglandis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella juglandis,5,95,183,1262,4797,2569921,3504978
Mycosphaerella juvenis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella nubilosa,5,95,183,1262,4797,2569921,3512849
Mycosphaerella khayae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella khayae,5,95,183,1262,4797,2569921,3505349
Mycosphaerella killianii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Polythrincium,Polythrincium trifolii,5,95,183,1262,4797,7254602,2621541
Mycosphaerella konae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pallidocercospora,Pallidocercospora konae,5,95,183,1262,4797,8176448,7670249
Mycosphaerella laricina,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella laricina,5,95,183,1262,4797,2569921,2622422
Mycosphaerella latebrosa,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella latebrosa,5,95,183,1262,4797,2569921,2622634
Mycosphaerella lateralis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella lateralis,5,95,183,1262,4797,2569921,2622491
Mycosphaerella lethalis,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Peyronellaea,Peyronellaea lethalis,5,95,183,1047,3281822,7253712,7826591
Mycosphaerella leucospermi,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella leucospermi,5,95,183,1262,4797,2569921,3505484
Mycosphaerella leucothoes,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella leucothoes,5,95,183,1262,4797,2569921,3505019
Mycosphaerella ligulicola,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Stagonosporopsis,Stagonosporopsis ligulicola,5,95,183,1047,8312,2615463,7396121
Mycosphaerella linorum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella linicola,5,95,183,1262,4797,2569921,2622186
Mycosphaerella lupini,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella lupini,5,95,183,1262,4797,2569921,3505382
Mycosphaerella luzonensis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella luzonensis,5,95,183,1262,4797,2569921,3505759
Mycosphaerella lythracearum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella lythracearum,5,95,183,1262,4797,2569921,2621838
Mycosphaerella macrospora,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium iridis,5,95,183,1262,3563987,2518208,2620552
Mycosphaerella maculiformis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella maculiformis,5,95,183,1262,4797,2569921,2621848
Mycosphaerella madeirae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella madeirae,5,95,183,1262,4797,2569921,3505470
Mycosphaerella manihotis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella manihotis,5,95,183,1262,4797,2569921,2622152
Mycosphaerella marksii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Paramycosphaerella,Paramycosphaerella marksii,5,95,183,1262,4797,8059369,7447660
Mycosphaerella martagonis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella martagonis,5,95,183,1262,4797,2569921,2622205
Mycosphaerella melaleucoides,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella melaleucoides,5,95,183,1262,4797,2569921,3505341
Mycosphaerella melonis,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Didymella bryoniae,5,95,183,1047,3281822,9388829,2614031
Mycosphaerella mexicana,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria mexicana,5,95,183,1262,4800,2621530,3512841
Mycosphaerella mikaniae-micranthae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella mikaniae-micranthae,5,95,183,1262,4797,2569921,2622155
Mycosphaerella milleri,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella milleri,5,95,183,1262,4797,2569921,3505006
Mycosphaerella molleriana,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella molleriana,5,95,183,1262,4797,2569921,2625004
Mycosphaerella morindae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella morindae,5,95,183,1262,4797,2569921,3505333
Mycosphaerella musicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella musicola,5,95,183,1262,4797,2569921,2622073
Mycosphaerella mycopappi,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Didymella mycopappi,5,95,183,1047,3281822,9388829,2614056
Mycosphaerella nerii-odori,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella nerii-odori,5,95,183,1262,4797,2569921,3505459
Mycosphaerella nigromaculans,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella nigromaculans,5,95,183,1262,4797,2569921,3505177
Mycosphaerella nubilosa,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella nubilosa,5,95,183,1262,4797,2569921,3512849
Mycosphaerella nyssicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia nyssicola,5,95,183,1262,4797,2513169,7916439
Mycosphaerella ohnowa,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Pseudoteratosphaeria,Pseudoteratosphaeria ohnowa,5,95,183,1262,4800,7570222,8052931
Mycosphaerella opuntiae,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,Microdochium,Microdochium opuntiae,5,95,320,1298,NA,2574444,8033365
Mycosphaerella oxyriae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella oxyriae,5,95,183,1262,4797,2569921,3505923
Mycosphaerella parkii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella parkii,5,95,183,1262,4797,2569921,2622305
Mycosphaerella parva,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Austroafricana,Austroafricana parva,5,95,183,1262,4800,7848054,7461756
Mycosphaerella personata,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella personata,5,95,183,1262,4797,2569921,2623814
Mycosphaerella phaseoli,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella phaseoli,5,95,183,1262,4797,2569921,3506019
Mycosphaerella piliostigmatis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella piliostigmatis,5,95,183,1262,4797,2569921,3505862
Mycosphaerella pini,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Dothistroma,Dothistroma septosporum,5,95,183,1262,4797,2620719,2621905
Mycosphaerella pinodes,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella pinodes,5,95,183,1262,4797,2569921,9638216
Mycosphaerella pistacina,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella pistacina,5,95,183,1262,4797,2569921,2622279
Mycosphaerella platylobii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella platylobii,5,95,183,1262,4797,2569921,3505324
Mycosphaerella podagrariae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella podagrariae,5,95,183,1262,4797,2569921,2622310
Mycosphaerella pomi,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella pomi,5,95,183,1262,4797,2569921,2622046
Mycosphaerella populi,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella populi,5,95,183,1262,4797,2569921,2622619
Mycosphaerella populicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella populicola,5,95,183,1262,4797,2569921,7703243
Mycosphaerella populorum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Sphaerulina,Sphaerulina musiva,5,95,183,1262,4797,2564487,7513354
Mycosphaerella pruni-persicae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella pruni-persicae,5,95,183,1262,4797,2569921,2622571
Mycosphaerella pseudomaculiformis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella pseudomaculiformis,5,95,183,1262,4797,2569921,2622373
Mycosphaerella psilospora,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella psilospora,5,95,183,1262,4797,2569921,3504974
Mycosphaerella puerariicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella puerariicola,5,95,183,1262,4797,2569921,2622347
Mycosphaerella punctiformis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia endophylla,5,95,183,1262,4797,2513169,5503834
Mycosphaerella pyri,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella pyri,5,95,183,1262,4797,2569921,2622098
Mycosphaerella queenslandica,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella queenslandica,5,95,183,1262,4797,2569921,3505316
Mycosphaerella rabiei,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella rabiei,5,95,183,1262,4797,2569921,7627132
Mycosphaerella readeriellophora,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella readeriellophora,5,95,183,1262,4797,2569921,3505447
Mycosphaerella ribis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella ribis,5,95,183,1262,4797,2569921,2621971
Mycosphaerella rubina,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Didymella applanata,5,95,183,1047,3281822,9388829,2614008
Mycosphaerella saxifragae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella saxifragae,5,95,183,1262,4797,2569921,3505036
Mycosphaerella suttonii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella suttonii,5,95,183,1262,4797,2569921,2621858
Mycosphaerella taraxaci,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella taraxaci,5,95,183,1262,4797,2569921,3505946
Mycosphaerella thailandica,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella thailandica,5,95,183,1262,4797,2569921,3505779
Mycosphaerella tussilaginis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella tussilaginis,5,95,183,1262,4797,2569921,2622303
Mycosphaerella wollemiae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella wollemiae,5,95,183,1262,4797,2569921,3505093
Mycotypha indica,Fungi,Zygomycota,NA,Mucorales,Mycotyphaceae,Mycotypha,Mycotypha indica,5,96,NA,749,8276,2558234,2558239
Mycovellosiella iresines,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycovellosiella,Mycovellosiella iresines,5,95,183,1262,4797,2618207,3504501
Mycovellosiella minax,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycovellosiella,Mycovellosiella minax,5,95,183,1262,4797,2618207,2621348
Mycovellosiella myracrodruonis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora myracrodruonis,5,95,183,1262,4797,9624081,3503920
Mycovellosiella oryzae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycovellosiella,Mycovellosiella oryzae,5,95,183,1262,4797,2618207,2621326
Mycovellosiella perfoliata,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycovellosiella,Mycovellosiella perfoliata,5,95,183,1262,4797,2618207,7254742
Mycovellosiella pilophila,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora pilophila,5,95,183,1262,4797,9624081,3504218
Mycovellosiella pyri,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycovellosiella,Mycovellosiella pyri,5,95,183,1262,4797,2618207,3504435
Mycovellosiella rhois,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora rhoina,5,95,183,1262,4797,9624081,3503862
Mycovellosiella rosea,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycovellosiella,Mycovellosiella rosea,5,95,183,1262,4797,2618207,3504430
Mycovellosiella sacchari,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycovellosiella,Mycovellosiella sacchari,5,95,183,1262,4797,2618207,3504384
Mycovellosiella sidae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycovellosiella,Mycovellosiella sidae,5,95,183,1262,4797,2618207,2624628
Mycovellosiella sidarum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora sidarum,5,95,183,1262,4797,9624081,2624627
Mycovellosiella subrufa,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora subrufa,5,95,183,1262,4797,2589681,3502467
Mycovellosiella taiwanensis,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Saccharicola,Saccharicola taiwanensis,5,95,183,1047,8308,2618198,8607432
Myriadoporus dussii,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Fomes,Fomes fasciatus,5,34,186,1145,3286,2518074,2549360
Myriosclerotinia sulcata,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Sclerotinia sulcata,5,95,179,1052,8385,2580402,2583146
Myrothecium roridum,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,Myrothecium,Myrothecium roridum,5,95,320,1290,NA,2562246,2562263
Myxocollybia velutipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Flammulina,Flammulina velutipes,5,34,186,1499,4182,2526827,3341441
Myxocyclus polycystis,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleomassariaceae,Splanchnonema,Splanchnonema argus,5,95,183,1047,4101,7253468,3535865
Myxosporium corticola,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Cryptosporiopsis,Cryptosporiopsis corticola,5,95,179,1052,4121,2563861,2581276
Myxosporium musae,Fungi,Ascomycota,Sordariomycetes,NA,Glomerellaceae,Colletotrichum,Colletotrichum musae,5,95,320,NA,2461,2563219,2568793
Myxosporium nitidum,Fungi,Ascomycota,NA,NA,NA,Myxosporium,Myxosporium nitidum,5,95,NA,NA,NA,9382862,3442949
Myxosporium pyri,Fungi,Ascomycota,NA,NA,NA,Discosporium,Discosporium pyri,5,95,NA,NA,NA,7186528,8184884
Naemospora ampelicida,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Phyllosticta ampelicida,5,95,183,1032,3295958,2513141,2611418
Napicladium calotropidis,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Napicladium,Napicladium calotropidis,5,95,183,7446671,8317,7253249,3295037
Nectria austroamericana,Fungi,Ascomycota,Sordariomycetes,NA,Thyridiaceae,Thyronectria,Thyronectria austroamericana,5,95,320,NA,2457,2562885,2563617
Nectria chaetopsinae,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Chaetopsinectria,Chaetopsinectria chaetopsinae,5,95,320,1290,4152,8146289,5896329
Nectria chaetopsinae-catenulatae,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Mariannaea,Mariannaea catenulatae,5,95,320,1290,4152,2562829,7808003
Nectria chaetopsinae-polyblastiae,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Chaetopsinectria,Chaetopsinectria chaetopsinae-polyblastiae,5,95,320,1290,4152,8146289,7910847
